"Time.period","Region","type of journey","value","amount of journeys (thousands)","sort","journey_scope"
"Apr 2011 to Mar 2012","Wales","North West thousands","1,853",1853,17,"Between regions"
"Apr 2011 to Mar 2012","Wales","Yorkshire and the Humber thousands","153",153,17,"Between regions"
"Apr 2011 to Mar 2012","Wales","East Midlands thousands","141",141,17,"Between regions"
"Apr 2011 to Mar 2012","Wales","West Midlands thousands","1,147",1147,17,"Between regions"
"Apr 2011 to Mar 2012","Wales","East England thousands","161",161,17,"Between regions"
"Apr 2011 to Mar 2012","Wales","London thousands","2,232",2232,17,"Between regions"
"Apr 2011 to Mar 2012","Wales","South East thousands","682",682,17,"Between regions"
"Apr 2011 to Mar 2012","Wales","South West thousands","2,602",2602,17,"Between regions"
"Apr 2011 to Mar 2012","Wales","Scotland thousands","48",48,17,"Between regions"
"Apr 2011 to Mar 2012","Wales","Journeys within Wales thousands","19,038",19038,17,"Within region"
"Apr 2011 to Mar 2012","West Midlands","North East thousands","249",249,17,"Between regions"
"Apr 2011 to Mar 2012","West Midlands","North West thousands","3,896",3896,17,"Between regions"
"Apr 2011 to Mar 2012","West Midlands","Yorkshire and the Humber thousands","948",948,17,"Between regions"
"Apr 2011 to Mar 2012","West Midlands","East Midlands thousands","3,781",3781,17,"Between regions"
"Apr 2011 to Mar 2012","West Midlands","East England thousands","747",747,17,"Between regions"
"Apr 2011 to Mar 2012","West Midlands","London thousands","9,904",9904,17,"Between regions"
"Apr 2011 to Mar 2012","West Midlands","South East thousands","2,656",2656,17,"Between regions"
"Apr 2011 to Mar 2012","West Midlands","South West thousands","1,501",1501,17,"Between regions"
"Apr 2011 to Mar 2012","West Midlands","Wales thousands","1,147",1147,17,"Between regions"
"Apr 2011 to Mar 2012","West Midlands","Scotland thousands","279",279,17,"Between regions"
"Apr 2011 to Mar 2012","West Midlands","Journeys within West Midlands thousands","47,139",47139,17,"Within region"
"Apr 2011 to Mar 2012","Yorkshire and the Humber","North East thousands","2,435",2435,17,"Between regions"
"Apr 2011 to Mar 2012","Yorkshire and the Humber","North West thousands","7,397",7397,17,"Between regions"
"Apr 2011 to Mar 2012","Yorkshire and the Humber","East Midlands thousands","3,259",3259,17,"Between regions"
"Apr 2011 to Mar 2012","Yorkshire and the Humber","West Midlands thousands","948",948,17,"Between regions"
"Apr 2011 to Mar 2012","Yorkshire and the Humber","East England thousands","892",892,17,"Between regions"
"Apr 2011 to Mar 2012","Yorkshire and the Humber","London thousands","5,980",5980,17,"Between regions"
"Apr 2011 to Mar 2012","Yorkshire and the Humber","South East thousands","703",703,17,"Between regions"
"Apr 2011 to Mar 2012","Yorkshire and the Humber","South West thousands","420",420,17,"Between regions"
"Apr 2011 to Mar 2012","Yorkshire and the Humber","Wales thousands","153",153,17,"Between regions"
"Apr 2011 to Mar 2012","Yorkshire and the Humber","Scotland thousands","893",893,17,"Between regions"
"Apr 2011 to Mar 2012","Yorkshire and the Humber","Journeys within Yorkshire and the Humber thousands","39,913",39913,17,"Within region"
"Apr 2012 to Mar 2013","East Midlands","North East thousands","227",227,18,"Between regions"
"Apr 2012 to Mar 2013","East Midlands","North West thousands","2,992",2992,18,"Between regions"
"Apr 2012 to Mar 2013","East Midlands","Yorkshire and the Humber thousands","3,291",3291,18,"Between regions"
"Apr 2012 to Mar 2013","East Midlands","West Midlands thousands","3,807",3807,18,"Between regions"
"Apr 2012 to Mar 2013","East Midlands","East England thousands","1,576",1576,18,"Between regions"
"Apr 2012 to Mar 2013","East Midlands","London thousands","8,564",8564,18,"Between regions"
"Apr 2012 to Mar 2013","East Midlands","South East thousands","1,118",1118,18,"Between regions"
"Apr 2012 to Mar 2013","East Midlands","South West thousands","358",358,18,"Between regions"
"Apr 2012 to Mar 2013","East Midlands","Wales thousands","140",140,18,"Between regions"
"Apr 2012 to Mar 2013","East Midlands","Scotland thousands","208",208,18,"Between regions"
"Apr 2012 to Mar 2013","East Midlands","Journeys within East Midlands thousands","8,237",8237,18,"Within region"
"Apr 2012 to Mar 2013","East England","North East thousands","339",339,18,"Between regions"
"Apr 2012 to Mar 2013","East England","North West thousands","639",639,18,"Between regions"
"Apr 2012 to Mar 2013","East England","Yorkshire and the Humber thousands","907",907,18,"Between regions"
"Apr 2012 to Mar 2013","East England","East Midlands thousands","1,576",1576,18,"Between regions"
"Apr 2012 to Mar 2013","East England","West Midlands thousands","807",807,18,"Between regions"
"Apr 2012 to Mar 2013","East England","London thousands","120,542",120542,18,"Between regions"
"Apr 2012 to Mar 2013","East England","South East thousands","3,447",3447,18,"Between regions"
"Apr 2012 to Mar 2013","East England","South West thousands","610",610,18,"Between regions"
"Apr 2012 to Mar 2013","East England","Wales thousands","163",163,18,"Between regions"
"Apr 2012 to Mar 2013","East England","Scotland thousands","283",283,18,"Between regions"
"Apr 2012 to Mar 2013","East England","Journeys within East England thousands","29,940",29940,18,"Within region"
"Apr 2012 to Mar 2013","London","North East thousands","2,208",2208,18,"Between regions"
"Apr 2012 to Mar 2013","London","North West thousands","9,037",9037,18,"Between regions"
"Apr 2012 to Mar 2013","London","Yorkshire and the Humber thousands","6,057",6057,18,"Between regions"
"Apr 2012 to Mar 2013","London","East Midlands thousands","8,564",8564,18,"Between regions"
"Apr 2012 to Mar 2013","London","West Midlands thousands","10,493",10493,18,"Between regions"
"Apr 2012 to Mar 2013","London","East England thousands","120,542",120542,18,"Between regions"
"Apr 2012 to Mar 2013","London","South East thousands","185,678",185678,18,"Between regions"
"Apr 2012 to Mar 2013","London","South West thousands","11,253",11253,18,"Between regions"
"Apr 2012 to Mar 2013","London","Wales thousands","2,266",2266,18,"Between regions"
"Apr 2012 to Mar 2013","London","Scotland thousands","2,047",2047,18,"Between regions"
"Apr 2012 to Mar 2013","London","Journeys within London thousands","429,327",429327,18,"Within region"
"Apr 2012 to Mar 2013","North East","North West thousands","944",944,18,"Between regions"
"Apr 2012 to Mar 2013","North East","Yorkshire and the Humber thousands","2,439",2439,18,"Between regions"
"Apr 2012 to Mar 2013","North East","East Midlands thousands","227",227,18,"Between regions"
"Apr 2012 to Mar 2013","North East","West Midlands thousands","237",237,18,"Between regions"
"Apr 2012 to Mar 2013","North East","East England thousands","339",339,18,"Between regions"
"Apr 2012 to Mar 2013","North East","London thousands","2,208",2208,18,"Between regions"
"Apr 2012 to Mar 2013","North East","South East thousands","274",274,18,"Between regions"
"Apr 2012 to Mar 2013","North East","South West thousands","103",103,18,"Between regions"
"Apr 2012 to Mar 2013","North East","Wales thousands","37",37,18,"Between regions"
"Apr 2012 to Mar 2013","North East","Scotland thousands","1,637",1637,18,"Between regions"
"Apr 2012 to Mar 2013","North East","Journeys within North East thousands","5,807",5807,18,"Within region"
"Apr 2012 to Mar 2013","North West","North East thousands","944",944,18,"Between regions"
"Apr 2012 to Mar 2013","North West","Yorkshire and the Humber thousands","7,601",7601,18,"Between regions"
"Apr 2012 to Mar 2013","North West","East Midlands thousands","2,992",2992,18,"Between regions"
"Apr 2012 to Mar 2013","North West","West Midlands thousands","4,070",4070,18,"Between regions"
"Apr 2012 to Mar 2013","North West","East England thousands","639",639,18,"Between regions"
"Apr 2012 to Mar 2013","North West","London thousands","9,037",9037,18,"Between regions"
"Apr 2012 to Mar 2013","North West","South East thousands","1,445",1445,18,"Between regions"
"Apr 2012 to Mar 2013","North West","South West thousands","622",622,18,"Between regions"
"Apr 2012 to Mar 2013","North West","Wales thousands","1,847",1847,18,"Between regions"
"Apr 2012 to Mar 2013","North West","Scotland thousands","2,016",2016,18,"Between regions"
"Apr 2012 to Mar 2013","North West","Journeys within North West thousands","82,709",82709,18,"Within region"
"Apr 2012 to Mar 2013","Scotland","North East thousands","1,637",1637,18,"Between regions"
"Apr 2012 to Mar 2013","Scotland","North West thousands","2,016",2016,18,"Between regions"
"Apr 2012 to Mar 2013","Scotland","Yorkshire and the Humber thousands","887",887,18,"Between regions"
"Apr 2012 to Mar 2013","Scotland","East Midlands thousands","208",208,18,"Between regions"
"Apr 2012 to Mar 2013","Scotland","West Midlands thousands","281",281,18,"Between regions"
"Apr 2012 to Mar 2013","Scotland","East England thousands","283",283,18,"Between regions"
"Apr 2012 to Mar 2013","Scotland","London thousands","2,047",2047,18,"Between regions"
"Apr 2012 to Mar 2013","Scotland","South East thousands","249",249,18,"Between regions"
"Apr 2012 to Mar 2013","Scotland","South West thousands","88",88,18,"Between regions"
"Apr 2012 to Mar 2013","Scotland","Wales thousands","49",49,18,"Between regions"
"Apr 2012 to Mar 2013","Scotland","Journeys within Scotland thousands","81,883",81883,18,"Within region"
"Apr 2012 to Mar 2013","South East","North East thousands","274",274,18,"Between regions"
"Apr 2012 to Mar 2013","South East","North West thousands","1,445",1445,18,"Between regions"
"Apr 2012 to Mar 2013","South East","Yorkshire and the Humber thousands","718",718,18,"Between regions"
"Apr 2012 to Mar 2013","South East","East Midlands thousands","1,118",1118,18,"Between regions"
"Apr 2012 to Mar 2013","South East","West Midlands thousands","2,839",2839,18,"Between regions"
"Apr 2012 to Mar 2013","South East","East England thousands","3,447",3447,18,"Between regions"
"Apr 2012 to Mar 2013","South East","London thousands","185,678",185678,18,"Between regions"
"Apr 2012 to Mar 2013","South East","South West thousands","6,272",6272,18,"Between regions"
"Apr 2012 to Mar 2013","South East","Wales thousands","699",699,18,"Between regions"
"Apr 2012 to Mar 2013","South East","Scotland thousands","249",249,18,"Between regions"
"Apr 2012 to Mar 2013","South East","Journeys within South East thousands","79,186",79186,18,"Within region"
"Apr 2012 to Mar 2013","South West","North East thousands","103",103,18,"Between regions"
"Apr 2012 to Mar 2013","South West","North West thousands","622",622,18,"Between regions"
"Apr 2012 to Mar 2013","South West","Yorkshire and the Humber thousands","405",405,18,"Between regions"
"Apr 2012 to Mar 2013","South West","East Midlands thousands","358",358,18,"Between regions"
"Apr 2012 to Mar 2013","South West","West Midlands thousands","1,514",1514,18,"Between regions"
"Apr 2012 to Mar 2013","South West","East England thousands","610",610,18,"Between regions"
"Apr 2012 to Mar 2013","South West","London thousands","11,253",11253,18,"Between regions"
"Apr 2012 to Mar 2013","South West","South East thousands","6,272",6272,18,"Between regions"
"Apr 2012 to Mar 2013","South West","Wales thousands","2,679",2679,18,"Between regions"
"Apr 2012 to Mar 2013","South West","Scotland thousands","88",88,18,"Between regions"
"Apr 2012 to Mar 2013","South West","Journeys within South West thousands","22,704",22704,18,"Within region"
"Apr 2012 to Mar 2013","Wales","North East thousands","37",37,18,"Between regions"
"Apr 2012 to Mar 2013","Wales","North West thousands","1,847",1847,18,"Between regions"
"Apr 2012 to Mar 2013","Wales","Yorkshire and the Humber thousands","149",149,18,"Between regions"
"Apr 2012 to Mar 2013","Wales","East Midlands thousands","140",140,18,"Between regions"
"Apr 2012 to Mar 2013","Wales","West Midlands thousands","1,145",1145,18,"Between regions"
"Apr 2012 to Mar 2013","Wales","East England thousands","163",163,18,"Between regions"
"Apr 2012 to Mar 2013","Wales","London thousands","2,266",2266,18,"Between regions"
"Apr 2012 to Mar 2013","Wales","South East thousands","699",699,18,"Between regions"
"Apr 2012 to Mar 2013","Wales","South West thousands","2,679",2679,18,"Between regions"
"Apr 2012 to Mar 2013","Wales","Scotland thousands","49",49,18,"Between regions"
"Apr 2012 to Mar 2013","Wales","Journeys within Wales thousands","19,232",19232,18,"Within region"
"Apr 2012 to Mar 2013","West Midlands","North East thousands","237",237,18,"Between regions"
"Apr 2012 to Mar 2013","West Midlands","North West thousands","4,070",4070,18,"Between regions"
"Apr 2012 to Mar 2013","West Midlands","Yorkshire and the Humber thousands","950",950,18,"Between regions"
"Apr 2012 to Mar 2013","West Midlands","East Midlands thousands","3,807",3807,18,"Between regions"
"Apr 2012 to Mar 2013","West Midlands","East England thousands","807",807,18,"Between regions"
"Apr 2012 to Mar 2013","West Midlands","London thousands","10,493",10493,18,"Between regions"
"Apr 2012 to Mar 2013","West Midlands","South East thousands","2,839",2839,18,"Between regions"
"Apr 2012 to Mar 2013","West Midlands","South West thousands","1,514",1514,18,"Between regions"
"Apr 2012 to Mar 2013","West Midlands","Wales thousands","1,145",1145,18,"Between regions"
"Apr 2012 to Mar 2013","West Midlands","Scotland thousands","281",281,18,"Between regions"
"Apr 2012 to Mar 2013","West Midlands","Journeys within West Midlands thousands","47,909",47909,18,"Within region"
"Apr 2012 to Mar 2013","Yorkshire and the Humber","North East thousands","2,439",2439,18,"Between regions"
"Apr 2012 to Mar 2013","Yorkshire and the Humber","North West thousands","7,601",7601,18,"Between regions"
"Apr 2012 to Mar 2013","Yorkshire and the Humber","East Midlands thousands","3,291",3291,18,"Between regions"
"Apr 2012 to Mar 2013","Yorkshire and the Humber","West Midlands thousands","950",950,18,"Between regions"
"Apr 2012 to Mar 2013","Yorkshire and the Humber","East England thousands","907",907,18,"Between regions"
"Apr 2012 to Mar 2013","Yorkshire and the Humber","London thousands","6,057",6057,18,"Between regions"
